LIBRARY,FID
S_140_S320,NSW_1071133
S_1403_S130,NSW_1079746
S_1404_S202,NSW_1079746
S_1405_S126,NSW_1079747
S_1407_S312,NSW_1079747
S_1408_S17_L003,NSW_1079747
S_141_S188,NSW_1071133
S_1412_S125,NSW_1079747
S_1413_S10_L003,NSW_1079747
S_1423_S318,NSW_1079748
S_1430_S329,NSW_1079750
S_1431_S278,NSW_1079750
S_1434_S73_L003,NSW_1079750
S_1437_S292,NSW_1079750
S_1441_S235,NSW_1079751
S_1442_S328,NSW_1079751
S_1443_S64_L003,NSW_1079751
S_1452_S275,NSW_1079751
S_1462_S171,NSW_1079752
S_1464_S64,NSW_1079752
S_1467_S106,NSW_1079753
S_1468_S139,NSW_1079753
S_147_S19,NSW_1071138
S_1472_S295,NSW_1079753
S_1479_S2_L003,NSW_1079755
S_148_S249,NSW_1071138
S_1488_S316,NSW_1079755
S_1496_S272,NSW_1079756
S_1499_S25_L003,NSW_1079756
S_150_S251,NSW_1071138
S_1506_S61,NSW_1079758
S_151_S93,NSW_1071138
S_1513_S327,NSW_1079760
S_1516_S148,NSW_1079760
S_1518_S240,NSW_1079760
S_1521_S18,NSW_1079760
S_1528_S47,NSW_1079761
S_1531_S31_L003,NSW_1079761
S_1532_S117,NSW_1079761
S_154_S162,NSW_1071138
S_1542_S44,NSW_1079762
S_1549_S342,NSW_1079763
S_1552_S185,NSW_1079763
S_1561_S52,NSW_1079765
S_1565_S74_L003,NSW_1079765
S_1567_S13_L003,NSW_1079765
S_1573_S236,NSW_1079766
S_1584_S296,NSW_1079766
S_159_S190,NSW_1071143
S_1599_S343,NSW_1079768
S_16_S56_L003,NSW_1071075
S_1603_S91_L003,NSW_1079768
S_1604_S168,NSW_1079768
S_1619_S303,NSW_1079772
S_1620_S26,NSW_1079772
S_1621_S339,NSW_1079773
S_1623_S378,NSW_1079773
S_1629_S373,NSW_1079773
S_1631_S361,NSW_1079773
S_1637_S325,NSW_1079774
S_1639_S204,NSW_1079774
S_1643_S375,NSW_1079774
S_1649_S331,NSW_1079774
S_165_S284,NSW_1071143
S_1651_S111,NSW_1079774
S_1653_S294,NSW_1079774
S_1660_S143,NSW_1079778
S_1669_S157,NSW_1079779
S_1674_S49_L003,NSW_1079779
S_1675_S175,NSW_1079779
S_1677_S221,NSW_1079779
S_1678_S107,NSW_1079779
S_1683_S338,NSW_1079783
S_1687_S90_L003,NSW_1079783
S_1689_1_S192,NSW_1079783
S_1689_S192,NSW_1079783
S_169_S27,NSW_1071143
S_1691_S141,NSW_1079783
S_1697_S147,NSW_1079783
S_1699_S367,NSW_1079783
S_171_S219,NSW_1071143
S_1723_S369,NSW_1079788
S_1725_S144,NSW_1079788
S_1727_S30,NSW_1079788
S_1728_S376,NSW_1079788
S_1735_S172,NSW_1079789
S_1736_S359,NSW_1079789
S_1740_S146,NSW_1079789
S_1742_S357,NSW_1079793
S_1747_S48_L003,NSW_1079793
S_1749_S247,NSW_1079793
S_1753_S75,NSW_1079794
S_1755_S134,NSW_1079794
S_1757_S61_L003,NSW_1079794
S_177_S62,NSW_1071143
S_1779_S226,NSW_1079798
S_1780_S45_L003,NSW_1079798
S_1781_S84,NSW_1079798
S_1783_S150,NSW_1079798
S_1799_S86,NSW_1079799
S_1800_S14_L003,NSW_1079799
S_181_S65,NSW_1071148
S_1810_S213,NSW_1079803
S_1811_S148,NSW_1079803
S_1813_S253,NSW_1079804
S_1817_S210,NSW_1079804
S_1818_S238,NSW_1079804
S_1822_S37,NSW_1079804
S_1823_S3_L003,NSW_1079804
S_1824_S180,NSW_1079804
S_1825_S198,NSW_1079808
S_1828_S156,NSW_1079808
S_183_S263,NSW_1071148
S_1831_S153,NSW_1079808
S_1834_S114,NSW_1079808
S_1835_S57,NSW_1079808
