"Seedlot","Seedling_number_rustassay","Mean_seedling_score_rustassay","Sd_seedling_score_rustassay","latitude","longitude","MatLine_Genompred","Seedling_number_genompred","Mean_seedling_score_genompred","Sd_seedling_score_genompred"
"NSW1071070",10,25.4,26.4037034439405,-31.19779728,152.9682061,2.20660657113819,7,1.80360001028435,0.725272928918253
"NSW1071075",7,7.85714285714286,10.7459848537112,-28.60642035,153.5706189,2.21457778077752,2,1.21962653503898,1.35949078336385
"NSW1071080",7,9.25,21.2102569527104,-28.60644177,153.5706227,2.2419353389282,3,0.284421220031751,0.276024145634631
"NSW1071090",9,1.875,2.23207142742853,-28.47684672,153.5464416,2.22141571193952,1,0.078809934844116,NA
"NSW1071110",7,11,18.6279360101972,-31.1994082,152.9677057,2.18784696700773,3,1.65543941455967,0.839143682431563
"NSW1071113",3,2,3.46410161513775,-31.25563895,152.9663093,2.19813864841062,2,0.807060992386013,0.972160326378375
"NSW1071115",5,12.4,12.0954536913669,-31.1977717,152.9681876,2.1705161741888,3,1.12454491973348,0.834069008566972
"NSW1071118",9,6.38888888888889,9.81318557406875,-31.25555562,152.9661151,2.17809928179382,5,1.55284779526881,0.420844790926153
"NSW1071123",6,2.16666666666667,1.72240142436851,-28.60559014,153.5734019,2.22628384318176,2,1.21282028832158,0.00615958318837132
"NSW1071128",12,0.916666666666667,2.15146180044822,-28.47762564,153.5453594,2.22841285711858,5,0.294000634585054,0.578945381855064
"NSW1071133",10,11.65,17.9846385068542,-28.47766614,153.5453788,2.21582509990982,3,1.45174732332819,0.753709487132582
"NSW1071138",11,2.55,2.73302843827949,-30.18978066,153.1635112,2.21162231501108,5,1.12371791195465,0.536329580593266
"NSW1071143",11,10.4090909090909,13.8506645721752,-28.6042916,153.5739313,2.22894832726821,5,1.87190956527265,0.392224851527405
"NSW1071143",11,10.4090909090909,13.8506645721752,-28.6042916,153.5739313,2.22894832726821,5,1.87190956527265,0.392224851527405
"NSW1071148",11,32.4545454545455,27.019858017257,-30.18909682,153.1615244,2.16321150823985,5,1.54643475270583,0.720372986499901
"NSW1074318",6,0.833333333333333,1.60208197875972,-29.85196215,153.2605053,2.15451976578383,3,0.723330012102718,0.553562269877474
"NSW1074324",5,0,0,-33.2802966,151.5553762,2.0400635928092,1,0.1088256635102,NA
"NSW1074324",5,0,0,-33.2802966,151.5553762,2.0400635928092,1,0.1088256635102,NA
"NSW1074329",6,1.66666666666667,2.42212028327799,-31.25654649,152.9661873,2.19983373349351,4,0.399122545071405,0.692202776976906
"NSW1074334",8,5.71428571428571,10.1770048919821,-31.25437969,152.966154,2.18216720378657,3,0.661815101650757,0.982890684998962
"NSW1074339",7,5.21428571428571,7.02292165494024,-31.25441977,152.9661785,2.20222457969526,4,1.07464237142422,0.792469552913635
"NSW1074398",3,9,12.7279220613579,-30.17570688,153.1868368,2.19829882272392,2,2.12350894799066,0.0624813347176545
"NSW1074423",9,7.77777777777778,13.6177988105437,-33.2049692,151.5481722,2.04324498640838,6,1.36951402924508,0.822950575817907
"NSW1074423",9,7.77777777777778,13.6177988105437,-33.2049692,151.5481722,2.03663986007646,6,1.36951402924508,0.822950575817907
"NSW1074428",1,0,NA,-33.20493702,151.5481819,2.10307713948662,NA,NA,NA
"NSW1074428",1,0,NA,-33.20493702,151.5481819,2.10307713948662,NA,NA,NA
"NSW1074429",4,11.625,7.88854654969258,-33.20594131,151.5485014,NA,2,2.06523763822478,0.0501454220217843
"NSW1074433",5,33.45,38.3015991833239,-33.28540365,151.5515136,NA,4,1.54747919017541,1.04984605216678
"NSW1074453",4,21.6666666666667,33.291640592397,-33.2792015,151.5552973,2.06141609632546,1,1.51654651846697,NA
"NSW1074458",3,5.5,8.23103881657716,-33.2087521,151.5499654,2.10296266014962,1,0.994615792193642,NA
"NSW1075704",6,22,17.469974241538,-32.7624922,151.7839244,2.00326505845974,3,1.62662718423919,1.20829793467044
"NSW1075705",8,4.42857142857143,8.16715256086116,-32.7619675,151.7834637,2.03672349266845,1,1.20057359263873,NA
"NSW1075705",8,4.42857142857143,8.16715256086116,-32.7619675,151.7834637,2.03878565248559,1,1.20057359263873,NA
"NSW1075706",2,10,14.142135623731,-32.7629435,151.7841001,2.01648340268699,2,1.14706263141004,1.17858493956565
"NSW1075706",2,10,14.142135623731,-32.7629435,151.7841001,2.0083543098764,2,1.14706263141004,1.17858493956565
"NSW1075707",4,2.5,5,-32.7619695,151.7834591,2.04690949941567,1,0.13621388936423,NA
"NSW1075707",4,2.5,5,-32.7619695,151.7834591,2.04866928638988,1,0.13621388936423,NA
"NSW1075708",4,6,12,-32.7626059,151.7842473,2.00834537581453,NA,NA,NA
"NSW1075708",4,6,12,-32.7626059,151.7842473,2.03452724463839,NA,NA,NA
"NSW1075709",11,6.95454545454545,11.2259844678642,-32.7677709,151.7871565,2.02436655176137,5,1.03634691562557,0.934870590895437
"NSW1075710",7,4.5,5.15590276608601,-32.7677709,151.7871565,2.04835380541071,2,1.23488303963725,0.938688111718256
"NSW1075710",7,4.5,5.15590276608601,-32.7677709,151.7871565,2.05786226458119,2,1.23488303963725,0.938688111718256
"NSW1075711",7,0.714285714285714,1.88982236504614,-32.7676678,151.7873916,2.00389669225155,1,1.30340449598719,NA
"NSW1075711",7,0.714285714285714,1.88982236504614,-32.7676678,151.7873916,2.00656768817988,1,1.30340449598719,NA
"NSW1075712",8,6.8125,13.1147068482024,-32.7677112,151.7874748,2.01725332578381,3,0.513096891658149,0.713306293614006
