,decimalLongitude,decimalLatitude
10,151.257009,-23.8944743
322,151.25751,-33.13489
12,151.291122,-33.799612
209,151.292222,-33.799728
270,151.30321,-24.50108
90,151.3035,-33.665787
162,151.328095,-33.392567
53,151.3293,-33.276478
76,151.3428,-33.174442
206,151.346787,-33.5364
130,151.349228,-33.068131
455,151.3514,-24.687
531,151.439722,-24.194028
411,151.44618,-33.39749
174,151.447845,-33.35957
359,151.45763,-33.419
233,151.47952,-24.51866
505,151.49503,-24.41454
412,151.541078,-26.842232
434,151.5541,-24.625925
424,151.586056,-24.422008
543,151.612685,-24.355634
51,151.625642,-32.828019
330,151.63555,-24.304683
186,151.670265,-32.90196
80,151.689583,-32.924686
60,151.726187,-32.958979
256,151.72986,-32.23497
31,151.784339,-32.227986
28,151.801075,-32.314214
418,151.827778,-24.184808
291,151.834722,-24.180689
410,151.845278,-24.599722
403,151.911662,-26.834582
510,151.945278,-25.255097
445,151.984444,-25.542081
272,151.996431,-24.671028
284,151.997001,-27.563489
369,152.034635,-27.68952
375,152.0525,-25.565489
354,152.087368,-27.304945
413,152.099722,-25.439583
559,152.127,-31.7868
214,152.176455,-26.871988
427,152.177839,-27.369348
389,152.192836,-24.937506
483,152.233187,-28.024391
516,152.261077,-27.445076
429,152.313,-32.539
263,152.3212,-27.8826
555,152.33037,-26.11145
351,152.336944,-26.120417
358,152.3385,-26.13262
457,152.362,-29.526
236,152.371911,-28.266926
201,152.373542,-27.978062
43,152.377356,-27.976167
479,152.3905,-28.0403
469,152.390967,-28.267283
139,152.39448,-28.047295
494,152.402959,-28.295923
554,152.407073,-28.09899
485,152.41621,-29.15852
573,152.417825,-28.082461
318,152.42473,-26.19581
314,152.44266,-28.29187
334,152.4563,-31.96337
566,152.45894,-32.40094
371,152.46654,-29.11686
468,152.47214,-29.60959
234,152.472693,-28.206489
258,152.474299,-28.246058
30,152.481084,-28.257927
39,152.509408,-27.549755
416,152.52529,-27.27244
326,152.532222,-25.398464
408,152.54532,-32.05942
430,152.55171,-25.43602
302,152.57143,-28.52013
260,152.586667,-25.962364
490,152.58913,-26.82226
248,152.59828,-31.29502
530,152.617731,-28.003758
428,152.617847,-27.999856
453,152.619,-29.7575
355,152.633512,-27.377227
99,152.639825,-26.234862
517,152.64655,-25.70716
388,152.65971,-28.36943
21,152.66435,-26.177863
324,152.671,-29.9936
367,152.673333,-25.657061
200,152.673353,-26.922416
97,152.677716,-28.001361
343,152.68211,-30.00054
401,152.685332,-27.302786
142,152.689438,-31.637379
177,152.695618,-25.789852
32,152.697433,-27.089521
402,152.69864,-27.01623
242,152.69869,-31.68594
512,152.69889,-31.2772
346,152.70779,-28.59538
18,152.709357,-26.196833
54,152.727813,-26.593855
329,152.729,-26.548
356,152.735,-27.548
365,152.738,-27.5164
16,152.742614,-31.529056
333,152.751,-28.9083
237,152.752603,-27.29658
345,152.760777,-27.334743
79,152.763068,-29.427959
175,152.771644,-30.397898
515,152.773704,-26.919232
49,152.781386,-27.382356
450,152.782,-26.798
357,152.78528,-26.76207
489,152.791299,-30.489561
540,152.79375,-31.69931
492,152.797816,-26.840498
61,152.802536,-26.757651
40,152.803256,-27.404734
409,152.80539,-26.29818
542,152.811147,-26.695908
304,152.81241,-31.35808
471,152.816172,-27.368052
57,152.823348,-27.820633
141,152.823378,-29.505165
534,152.841462,-26.630788
122,152.846938,-30.221728
125,152.848923,-30.366396
170,152.851715,-27.395115
124,152.856789,-28.305444
406,152.86113,-27.51446
241,152.86331,-26.32321
94,152.863715,-26.62205
133,152.867828,-27.438267
185,152.867926,-30.073887
507,152.8694,-27.5652
135,152.871033,-26.759768
317,152.87585,-26.31393
104,152.877272,-26.284192
506,152.88023,-26.78007
151,152.883375,-30.475892
210,152.883686,-27.460672
564,152.888106,-27.526332
421,152.889366,-26.824168
312,152.890127,-30.385706
71,152.892834,-26.64475
568,152.89289,-26.735437
47,152.895879,-27.373389
288,152.897739,-27.644122
147,152.901627,-26.59063
100,152.902872,-27.424588
119,152.905242,-26.581445
396,152.90631,-31.39775
395,152.90933,-30.82872
27,152.911713,-26.203188
442,152.916018,-26.419869
342,152.91689,-26.9137
84,152.919905,-30.222245
323,152.92,-30.534
433,152.922,-26.7004
292,152.926085,-27.519185
190,152.929437,-26.385217
300,152.92984,-26.317936
108,152.930771,-27.46534
109,152.932083,-26.817505
497,152.93327,-30.41078
533,152.936606,-26.927315
311,152.9394,-26.2216
196,152.940204,-27.346183
149,152.942368,-26.7913
36,152.942515,-27.440313
378,152.946584,-26.345775
101,152.952453,-26.650372
143,152.953324,-26.477042
160,152.956467,-26.565412
247,152.95761,-30.13698
400,152.95901,-26.71316
211,152.961368,-30.207892
360,152.9614,-27.4469
13,152.963564,-26.821507
212,152.965303,-27.298772
336,152.96634,-31.25398
541,152.96667,-26.69806
549,152.96733,-31.19562
422,152.97295,-26.4461
4,152.9751437,-27.4767899
481,152.97898,-26.65242
153,152.98584,-30.627076
58,152.98802,-27.538876
26,152.989855,-30.57541
45,152.993347,-27.550781
338,152.99434,-30.79103
136,152.995053,-30.408504
219,152.998283,-30.313217
154,153.004556,-30.307067
519,153.011134,-26.384325
132,153.01239,-30.595597
321,153.014167,-26.199722
113,153.015755,-27.498083
391,153.01725,-30.42525
456,153.019485,-30.199602
252,153.025826,-26.667796
529,153.0259,-26.66659
66,153.026501,-30.346939
112,153.026536,-27.69872
116,153.033118,-27.539771
72,153.03586,-26.77325
22,153.038152,-27.555617
470,153.03825,-30.41513
85,153.038328,-27.354056
102,153.040297,-26.491653
488,153.044,-29.0723
126,153.045776,-30.330816
373,153.048027,-26.67226
114,153.057879,-28.393527
315,153.059908,-30.447821
24,153.069405,-27.508807
176,153.070027,-30.411318
55,153.081686,-30.351277
156,153.081847,-27.339875
451,153.08299,-30.04149
20,153.085786,-27.515611
215,153.091459,-26.775978
513,153.09175,-26.50682
62,153.101624,-28.259998
103,153.104288,-30.361598
182,153.107782,-30.266465
127,153.112926,-27.636678
169,153.113408,-27.819091
88,153.117679,-28.201167
208,153.121841,-28.212885
503,153.123351,-28.156504
86,153.124378,-28.34211
121,153.124585,-30.292379
331,153.13,-28.406
95,153.136708,-28.230827
115,153.139603,-27.804853
171,153.153676,-30.117987
203,153.16098,-28.296344
19,153.162854,-27.658048
98,153.165807,-28.277507
439,153.17358,-28.47538
134,153.179233,-28.248782
140,153.185241,-30.136183
29,153.187635,-28.199211
89,153.189438,-27.671912
167,153.18965,-27.946753
466,153.192744,-28.125201
56,153.193483,-28.251091
399,153.19443,-28.44618
14,153.20288,-27.913686
168,153.207748,-27.660381
82,153.211435,-25.197622
276,153.21315,-28.12108
274,153.214,-27.8503
249,153.21495,-29.21351
193,153.22233,-27.941684
77,153.224182,-28.263847
50,153.224333,-27.823619
397,153.22637,-28.371412
159,153.22996,-28.132705
87,153.232411,-27.900036
83,153.232436,-27.710224
217,153.239553,-28.230645
91,153.247172,-27.554361
118,153.255312,-28.199345
477,153.25534,-28.763361
285,153.2619,-28.4343
253,153.262725,-28.264458
216,153.266907,-28.00835
63,153.267164,-28.23366
405,153.274394,-28.307574
93,153.276492,-27.978325
432,153.279,-28.136
197,153.280361,-29.825063
183,153.289589,-28.814085
306,153.291405,-28.542262
538,153.2916,-28.9773
362,153.29253,-27.99191
9,153.2962934,-28.8179205
575,153.297933,-28.540717
301,153.306,-28.182
38,153.312213,-28.159798
382,153.315255,-28.22709
417,153.31813,-28.09103
181,153.320707,-28.259865
204,153.32187,-28.075263
438,153.329183,-28.63925
361,153.3333,-28.7788
65,153.334236,-28.246772
145,153.334687,-27.9831
545,153.343967,-28.561817
404,153.345,-29.4824
461,153.34729,-28.137233
286,153.35057,-28.20116
255,153.35896,-28.04448
443,153.36035,-28.09385
372,153.366,-28.6375
500,153.367813,-28.605462
251,153.370076,-28.424656
179,153.38039,-28.166525
547,153.3821,-28.8131
7,153.3869209,-28.0115475
131,153.3872,-27.923457
377,153.392,-28.616
454,153.393,-28.5327
238,153.404134,-28.865315
246,153.40583,-28.96486
52,153.414937,-28.168565
280,153.415833,-28.246861
44,153.426278,-28.188395
137,153.426364,-28.156118
316,153.42676,-28.62427
398,153.4268,-28.527
158,153.428394,-28.103053
231,153.432,-28.549
537,153.43318,-28.92341
327,153.441,-28.253
290,153.447476,-28.743754
271,153.451667,-28.424639
198,153.458855,-28.179942
222,153.470477,-28.351901
524,153.474452,-28.921649
504,153.480007,-28.320411
294,153.482145,-28.521398
325,153.485,-28.5553
551,153.4968,-28.4428
407,153.510083,-28.414639
128,153.511771,-28.47774
148,153.526159,-28.513545
376,153.5417,-28.6029
308,153.554,-28.4502
563,153.558072,-28.411703
278,153.567626,-28.707841
364,153.568611,-28.313694
96,153.574415,-28.629469
264,153.593056,-28.716528
553,153.60483,-28.67101
