"","NSWID","FID","species","longitude","latitude","sample_lib_NSW","SeedlingNumb","Pop","ID","IID","height","rust_infection","LeavesShootInfect","LeavesShootRustSchore1.5","MinorBranchDB","MajorBranchDB","CrownDensity","Notes"
"60","NSW1075722","NSW_1075722",NA,151.4189252,-33.4881471,"NSW_1075722_S187",NA,"df383120-90ba-11ea-c60a-73655d76e076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","NSW1075723","NSW_1075723",NA,151.4171656,-33.4925003,"NSW_1075723_S186",NA,"df383120-90ba-11ea-c60a-73655d76e076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","NSW1075723","NSW_1075723",NA,151.4171656,-33.4925003,"NSW_1075723_1_S186",NA,"df383120-90ba-11ea-c60a-73655d76e076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","NSW1078636","NSW_1078636","Melaleuca quinquenervia",153.5417933,-28.4782849,"NSW_1078636_S76",12,"p666c7140","NSW_1078636_12",384,9,"0A","90+",NA,"yes","no",55,"fallen branch; height of nearest tree measured"
"64","NSW1078637","NSW_1078637","Melaleuca quinquenervia",153.5739177,-28.60431562,"NSW_1078637_S19",12,"p328a8440","NSW_1078637_12",396,9,"0A","10-50",NA,"no","no",65,""
"65","NSW1078640","NSW_1078640","Melaleuca quinquenervia",153.5666941,-28.60778531,"NSW_1078640_S131",12,"p328a8440","NSW_1078640_12",408,7,"0A","1-5",NA,"yes","no",60,""
"66","NSW1078641","NSW_1078641","Melaleuca quinquenervia",153.5740332,-28.60516753,"NSW_1078641_S87",12,"p328a8440","NSW_1078641_12",432,9,"0A","1-5",NA,"no","no",75,""
"67","NSW1078642","NSW_1078642","Melaleuca quinquenervia",153.5637864,-28.6080735,"NSW_1078642_S21",12,"p328a8440","NSW_1078642_12",444,13,"0A","50-90",NA,"no","no",55,""
"68","NSW1078645","NSW_1078645","Melaleuca quinquenervia",153.5734272,-28.60557577,"NSW_1078645_S125",12,"p328a8440","NSW_1078645_12",456,8,"0A","50-90",NA,"no","no",50,""
"69","NSW1078646","NSW_1078646","Melaleuca quinquenervia",153.569276,-28.60695352,"NSW_1078646_S132",12,"p328a8440","NSW_1078646_12",468,10,"0A","10-50",NA,"no","no",70,""
"70","NSW1078647","NSW_1078647","Melaleuca quinquenervia",153.6220029,-28.64923983,"NSW_1078647_S17",12,"p1bff81d0","NSW_1078647_12",480,5,"0",NA,NA,"no","no",60,""
"71","NSW1078651","NSW_1078651","Melaleuca quinquenervia",153.6235341,-28.6482238,"NSW_1078651_S73",12,"p1bff81d0","NSW_1078651_12",492,5,"0A","1-5",NA,"no","no",50,""
"72","NSW1078652","NSW_1078652","Melaleuca quinquenervia",153.6235516,-28.64861633,"NSW_1078652_S130",12,"p1bff81d0","NSW_1078652_12",504,10,"0A","5-10",NA,"no","yes",55,""
"73","NSW1078653","NSW_1078653","Melaleuca quinquenervia",153.5446269,-28.47786231,"NSW_1078653_S77",12,"p666c7140","NSW_1078653_12",516,14,"0A","10-50",NA,"yes","no",60,"fallen branch; height of nearest tree measured"
"74","NSW1078654","NSW_1078654","Melaleuca quinquenervia",153.6274689,-28.64620153,"NSW_1078654_S66",12,"p1bff81d0","NSW_1078654_12",528,8,"0",NA,NA,"yes","no",50,""
"75","NSW1078656","NSW_1078656","Melaleuca quinquenervia",153.6242193,-28.64852792,"NSW_1078656_S128",12,"p1bff81d0","NSW_1078656_12",540,7,"0A","10-50",NA,"no","no",50,""
"76","NSW1078657","NSW_1078657","Melaleuca quinquenervia",153.6250671,-28.64858659,"NSW_1078657_S67",12,"p1bff81d0","NSW_1078657_12",552,4,"0A","10-50",NA,"no","no",30,""
"77","NSW1078658","NSW_1078658","Melaleuca quinquenervia",153.6242216,-28.64850763,"NSW_1078658_S68",12,"p1bff81d0","NSW_1078658_12",564,6,"0A","1-5",NA,"yes","no",45,""
"78","NSW1078660","NSW_1078660","Melaleuca quinquenervia",153.6250711,-28.64858147,"NSW_1078660_S24",12,"p1bff81d0","NSW_1078660_12",576,7,"0A","50-90",NA,"no","no",80,""
"79","NSW1078662","NSW_1078662","Melaleuca quinquenervia",153.2605053,-29.85196215,"NSW_1078662_S16",12,"p8a9b6b20","NSW_1078662_12",600,NA,NA,NA,NA,NA,NA,NA,NA
"80","NSW1078662","NSW_1078662","Melaleuca quinquenervia",153.6259881,-28.64885647,NA,NA,"1bff81d0-3f52-11eb-a51f-b73bba8b9f7f",NA,NA,6,"0A","10-50",NA,"yes","no",60,""
"81","NSW1078713","NSW_1078713","Melaleuca quinquenervia",153.6250369,-28.64745043,"NSW_1078713_S129",12,"p1bff81d0","NSW_1078713_12",612,3.5,"0",NA,NA,"no","no",70,""
"82","NSW1079653","NSW_1079653","Melaleuca quinquenervia",151.5474484,-33.20286067,"NSW_1079653_1_S168",12,"pd135bc30","NSW_1079653_12",624,17,"0A","10-50",NA,"no","no",50,""
"83","NSW1079653","NSW_1079653","Melaleuca quinquenervia",151.5474484,-33.20286067,"NSW_1079653_S168",12,"pd135bc30","NSW_1079653_12",624,17,"0A","10-50",NA,"no","no",50,""
"84","NSW1079654","NSW_1079654","Melaleuca quinquenervia",151.5474202,-33.20289403,"NSW_1079654_S25",12,"pd135bc30","NSW_1079654_12",636,8,"0A","1-5",NA,"no","no",45,""
"85","NSW1079658","NSW_1079658","Melaleuca quinquenervia",152.1210819,-32.75007599,"NSW_1079658_1_S171",12,"p9c3c9590","NSW_1079658_12",648,16,"0",NA,NA,"no","no",50,""
"86","NSW1079658","NSW_1079658","Melaleuca quinquenervia",152.1210819,-32.75007599,"NSW_1079658_S171",12,"p9c3c9590","NSW_1079658_12",648,16,"0",NA,NA,"no","no",50,""
"87","NSW1079670","NSW_1079670","Melaleuca quinquenervia",151.5516915,-33.28465949,"NSW_1079670_S157",12,"p0c317820","NSW_1079670_12",660,15,"0A","50-90",NA,"no","no",50,""
"88","NSW1079671","NSW_1079671","Melaleuca quinquenervia",151.5516779,-33.28463505,"NSW_1079671_S145",12,"p0c317820","NSW_1079671_12",672,16,"0A","50-90",NA,"no","no",75,""
"89","NSW1079672","NSW_1079672","Melaleuca quinquenervia",151.5521833,-33.2845166,"NSW_1079672_S56",12,"p0c317820","NSW_1079672_12",684,9,"0A","1-5",NA,"no","no",85,""
"90","NSW1079675","NSW_1079675","Melaleuca quinquenervia",151.5512911,-33.21130892,"NSW_1079675_1_S166",12,"pd135bc30","NSW_1079675_12",696,10,"0A","10-50",NA,"no","no",40,""
"91","NSW1079675","NSW_1079675","Melaleuca quinquenervia",151.5512911,-33.21130892,"NSW_1079675_S166",12,"pd135bc30","NSW_1079675_12",696,10,"0A","10-50",NA,"no","no",40,""
"92","NSW1079677","NSW_1079677","Melaleuca quinquenervia",151.552218,-33.28459471,"NSW_1079677_S98",12,"p0c317820","NSW_1079677_12",708,13,"0A","1-5",NA,"no","no",45,""
"93","NSW1079680","NSW_1079680","Melaleuca quinquenervia",151.5517433,-33.28603172,"NSW_1079680_S156",12,"p0c317820","NSW_1079680_12",720,12,"0A","10-50",NA,"no","no",45,""
"94","NSW1079681","NSW_1079681","Melaleuca quinquenervia",151.5522239,-33.28357552,"NSW_1079681_S100",12,"p0c317820","NSW_1079681_12",732,20,"0A","1-5",NA,"no","no",60,""
"95","NSW1079682","NSW_1079682","Melaleuca quinquenervia",151.551742,-33.28602382,"NSW_1079682_S99",12,"p0c317820","NSW_1079682_12",744,16,"0A","5-10",NA,"no","no",65,""
"96","NSW1079686","NSW_1079686","Melaleuca quinquenervia",152.452775,-32.40612129,"NSW_1079686_S154",12,"p72bbeb40","NSW_1079686_12",756,10,"0A","10-50",NA,"no","no",55,""
"97","NSW1079687","NSW_1079687","Melaleuca quinquenervia",151.5500155,-33.20875621,"NSW_1079687_S143",12,"pd135bc30","NSW_1079687_12",768,10,"0A","10-50",NA,"yes","no",25,""
"98","NSW1079691","NSW_1079691","Melaleuca quinquenervia",152.4558823,-32.40388962,"NSW_1079691_S109",12,"p72bbeb40","NSW_1079691_12",780,17,"0A","10-50",NA,"no","no",60,""
"99","NSW1079692","NSW_1079692","Melaleuca quinquenervia",152.1225791,-32.75247506,"NSW_1079692_S144",12,"p9c3c9590","NSW_1079692_12",792,16,"0",NA,NA,"no","no",85,""
